Place,TravelCost,StayCost,SightseeingCost,TotalCost
Mussoorie,2739,7856,2702,13297
Cuttack,7529,6906,2887,17322
Nashik,8963,3359,2476,14798
Rishikesh,6521,7836,2139,16496
Patna,4541,10374,1561,16476
Munnar,4979,1909,2990,9878
Coorg,4779,8900,4591,18270
Gangtok,6701,8206,2196,17103
Aurangabad,1741,10779,3163,15683
Itanagar,9000,1703,1082,11785
Rajgir,8078,5015,998,14091
Leh,8944,5721,811,15476
Mahabalipuram,5573,2754,773,9100
Hyderabad,4544,4233,921,9698
Kanyakumari,3147,3418,1531,8096
Satara,4453,3598,4277,12328
Rajasthan,7438,8220,1209,16867
Bundi,8172,7045,1988,17205
Lakshadweep,9823,7746,1393,18962
Alleppey,8255,8393,3407,20055
Kaziranga,6920,1618,4552,13090
Patna,2436,5082,4612,12130
Aurangabad,4428,6074,3858,14360
Ratnagiri,6344,8967,4491,19802
Sanchi,4499,6139,2293,12931
Amarkantak,3578,9335,745,13658
Mussoorie,1189,5038,3465,9692
Bomdila,1613,6565,1241,9419
Kanyakumari,6760,2194,2966,11920
Alleppey,3106,5317,2354,10777
Lonavala,8338,6673,3848,18859
Orchha,6551,3448,2252,12251
Itanagar,7642,4472,2111,14225
Mechuka,2142,11961,3579,17682
Chennai,7484,10666,1735,19885
Mussoorie,6657,11712,1367,19736
Jaipur,9842,7676,593,18111
Jorhat,7594,5763,4797,18154
Varanasi,6100,2804,690,9594
Nainital,5472,6053,4193,15718
Ziro,2251,10961,4287,17499
Bodh Gaya,8324,2668,3792,14784
Bundi,1742,6913,2952,11607
Ziro,6125,7733,1101,14959
Bundi,2406,9741,2495,14642
Mussoorie,9483,5302,844,15629
Roing,9251,6879,1103,17233
Ziro,2833,7979,620,11432
Mechuka,8553,7325,3713,19591
Tuting,6395,3720,2003,12118
Diu,9350,1917,1898,13165
Udaipur,6236,7737,4127,18100
Kovalam,7976,8195,1254,17425
Itanagar,4451,3992,4698,13141
Gwalior,9370,11016,3446,23832
Bhopal,5656,11122,4456,21234
Varanasi,1066,8917,4345,14328
Ooty,8753,1989,4367,15109
Shillong,5358,4344,2011,11713
Zemithang,5962,4007,3605,13574
Kolkata,6700,10763,2782,20245
Lakshadweep,7930,9744,752,18426
Majuli,9461,8265,3505,21231
Satara,7051,3040,1325,11416
Leh,4090,11656,4597,20343
Hyderabad,7107,11476,500,19083
Bikaner,8237,10703,1533,20473
Khonsa,6730,7097,3002,16829
Lonavala,8689,2129,3553,14371
Ooty,5880,9847,4016,19743
Bomdila,7448,4903,4675,17026
Along,9859,11725,3896,25480
Mumbai,4220,7401,2919,14540
Amritsar,1250,7361,1196,9807
Lakshadweep,5119,7799,3920,16838
Delhi,3069,6851,4513,14433
Alibag,4705,9908,1623,16236
Gangtok,9915,3901,2749,16565
Lakshadweep,7095,6696,1092,14883
Chittorgarh,2331,11510,757,14598
Puri,6988,11484,3894,22366
Tuting,7435,4690,832,12957
Khandala,1430,10762,4267,16459
Shirdi,6385,10367,965,17717
Mawsynram,5140,7550,3598,16288
Lonavala,6970,4476,4056,15502
Ellora,4150,7602,1351,13103
Delhi,8606,11087,4222,23915
Rajgir,1975,5969,4770,12714
Mawsynram,1637,11110,1568,14315
Imphal,9963,3586,4524,18073
Hampi,3822,9406,3036,16264
Rourkela,3355,11673,2769,17797
Aurangabad,2588,7261,1863,11712
Amarkantak,8599,8036,1173,17808
Daman,5012,10578,3390,18980
Amarkantak,8513,2874,1215,12602
Udaipur,4997,6396,4645,16038
Kolhapur,6369,2773,4465,13607
Shimla,6971,9680,2499,19150
Chittorgarh,8505,9053,952,18510
Cuttack,6359,5331,4234,15924
Mumbai,8564,9370,2825,20759
Alibag,9377,5881,3303,18561
Rishikesh,6734,3309,2714,12757
Lakshadweep,2622,5765,1288,9675
Andaman,9688,10327,3910,23925
Jaisalmer,6289,3968,4765,15022
Roing,6943,9417,967,17327
Rajasthan,1207,4789,4377,10373
Gangtok,4534,2508,2466,9508
Lakshadweep,7709,7941,2659,18309
Shillong,8931,6099,1769,16799
Bhopal,1262,5062,4639,10963
Amritsar,8973,11174,3158,23305
Shimla,6864,9697,845,17406
Tawang,9424,8078,4119,21621
Agra,4313,11927,3707,19947
Tawang,9170,8027,1557,18754
Majuli,5919,10991,1844,18754
Udaipur,9802,5441,1207,16450
Mahabalipuram,2611,1736,1410,5757
Delhi,3975,8083,2080,14138
Ratnagiri,4165,3208,2184,9557
Kalimpong,1125,7414,4770,13309
Shirdi,4887,1918,2840,9645
Puri,7748,5361,897,14006
Roing,3502,10628,2159,16289
Mawsynram,2503,10600,2512,15615
Daman,2378,9581,4636,16595
Cherrapunji,5039,5611,1583,12233
Haridwar,7137,10915,2976,21028
Jaipur,8520,3564,1189,13273
Mussoorie,5617,11448,4247,21312
Mawsynram,3833,2790,4448,11071
Alibag,5926,10230,4661,20817
Puri,5626,8863,2460,16949
Patna,9097,4862,2409,16368
Coorg,4556,6236,3707,14499
Mount Abu,9929,6709,2581,19219
Varanasi,7593,9670,3968,21231
Kolhapur,9739,10705,1077,21521
Orchha,9209,7954,501,17664
Siliguri,1499,8698,3639,13836
Nalanda,6267,5607,4049,15923
Coorg,1859,9074,1584,12517
Daman,9479,6440,2174,18093
Goa,1708,11638,1858,15204
Pune,2690,2037,2904,7631
Jaipur,5198,9779,2237,17214
Dirang,1182,11102,2816,15100
Mussoorie,7771,9477,1571,18819
Andaman,8782,10266,3866,22914
Ratnagiri,8226,11432,2480,22138
Khandala,1794,10524,1313,13631
Ratnagiri,6387,6090,4493,16970
Indore,2495,3018,3124,8637
Ajanta,5501,4661,1843,12005
Kodaikanal,8570,10526,711,19807
Manali,5778,5435,2936,14149
Chitrakoot,6602,4983,1682,13267
Cuttack,2629,1597,4689,8915
Konark,7687,11040,878,19605
Mussoorie,6827,1943,2571,11341
Khandala,9434,6956,3094,19484
Amritsar,2460,6357,1767,10584
Khonsa,7378,3076,3630,14084
Kanyakumari,5301,8372,2304,15977
Nagpur,7104,4595,3482,15181
Udaipur,4916,5209,3288,13413
Ratnagiri,1872,11875,3097,16844
Diu,7227,11071,4714,23012
Ranthambore,6063,3389,3213,12665
Imphal,1203,10838,3108,15149
Jaisalmer,9682,6952,1246,17880
Varanasi,4743,4607,2845,12195
Bomdila,4275,11298,3202,18775
Alleppey,6091,7853,2373,16317
Jaisalmer,3929,10096,1914,15939
Jabalpur,7143,10703,2299,20145
Kolkata,8315,9961,1721,19997
Gangtok,1757,7659,4437,13853
Tezpur,7678,11253,1788,20719
Nashik,8766,10897,2202,21865
Diu,2188,5544,2927,10659
Along,7311,6259,1410,14980
Rajgir,4753,4517,2523,11793
Siliguri,8605,5035,3198,16838
Satara,9567,3133,2660,15360
Indore,7527,9645,1623,18795
Imphal,2074,11810,4057,17941
Mechuka,5385,10183,1307,16875
Pune,1530,5824,3570,10924
Kanyakumari,7324,4010,4745,16079
Nagpur,8352,10255,619,19226
Indore,2697,2471,4548,9716
Chitrakoot,4424,3071,1708,9203
Sikkim,9625,6826,4364,20815
Ajanta,7168,9307,3064,19539
Mechuka,1020,4244,1976,7240
Coorg,6527,9305,2387,18219
Hyderabad,6361,9076,3061,18498
Bodh Gaya,8251,5356,1663,15270
Chittorgarh,6576,8934,1534,17044
Tawang,9024,4470,3800,17294
Haridwar,5899,4459,2437,12795
Bodh Gaya,3095,6263,2082,11440
Aizawl,3503,3522,4253,11278
Mussoorie,7581,3396,1278,12255
Bhopal,5746,11044,2337,19127
Kanyakumari,8834,6040,834,15708
Daman,7038,5958,3933,16929
Mechuka,4276,1527,4077,9880
Varanasi,7482,6124,2156,15762
Khajuraho,1304,1874,1504,4682
Bikaner,9901,5386,3105,18392
Sanchi,4881,3474,661,9016
Hampi,3222,2273,940,6435
Gangtok,5755,4478,4221,14454
Delhi,6701,11315,2580,20596
Jorhat,5416,5017,2010,12443
Gangtok,6660,5735,1150,13545
Nalanda,4489,8928,4881,18298
Tuting,5856,3165,4490,13511
Majuli,5114,7950,2220,15284
Ellora,4183,6245,811,11239
Amritsar,2775,8537,1727,13039
Mussoorie,3639,10353,3080,17072
Bodh Gaya,5911,11303,4633,21847
Kovalam,4555,11585,1885,18025
Dirang,2949,1922,3929,8800
Kanyakumari,7894,8450,1088,17432
Zemithang,4014,5740,893,10647
Coorg,8600,4110,2282,14992
Goa,6393,4657,3752,14802
Kolkata,7955,3521,917,12393
Konark,2848,11157,4319,18324
Mechuka,9722,7026,4417,21165
Aurangabad,5176,4968,3370,13514
Sanchi,6058,11862,1063,18983
Nagpur,7251,7407,2508,17166
Amarkantak,4380,6130,508,11018
Dirang,1435,11888,4269,17592
Majuli,1466,8221,2566,12253
Tawang,6742,10969,4337,22048
Pune,4670,3761,3545,11976
Gwalior,9880,10337,3211,23428
Bangalore,6889,3055,2051,11995
Siliguri,4470,3892,560,8922
Ranthambore,7521,9103,4560,21184
Pune,9355,8084,2375,19814
Jabalpur,9079,6070,1515,16664
Gangtok,1422,7395,1634,10451
Ziro,9376,2754,4395,16525
Mahabalipuram,6818,2236,782,9836
Diu,5362,4116,4218,13696
Coorg,9039,8597,2777,20413
Chitrakoot,6664,8376,843,15883
Konark,8390,3942,3021,15353
Tawang,3828,9538,1789,15155
Nashik,7190,11821,1106,20117
Khandala,4040,5724,2944,12708
Sikkim,8813,9275,3080,21168
Tawang,2308,7149,4951,14408
Rourkela,3542,4039,4826,12407
Ratnagiri,6358,9502,3741,19601
Rajgir,5085,5459,1402,11946
Aurangabad,7501,3557,545,11603
Cuttack,9513,2271,2348,14132
Orchha,2509,11260,1584,15353
Cuttack,3948,9201,2860,16009
Kovalam,5010,9556,837,15403
Majuli,8409,1563,3679,13651
Sanchi,6500,5287,4124,15911
Khandala,2365,8443,2535,13343
Daman,9346,6178,1760,17284
Imphal,1675,10939,2163,14777
Ziro,3046,8374,1628,13048
Gangtok,9948,7087,831,17866
Dirang,8475,6212,3950,18637
Goa,4723,4294,3657,12674
Bhopal,9459,3163,3149,15771
Patna,3770,6887,1766,12423
Gangtok,3979,2508,1786,8273
Aurangabad,5523,11928,4367,21818
Ratnagiri,3826,6206,2952,12984
Ellora,1875,8803,4068,14746
Chennai,6234,4981,3201,14416
Ajanta,2220,8855,1056,12131
Ziro,8499,5541,4387,18427
Indore,9940,4079,2864,16883
Hyderabad,3400,3605,4550,11555
Chennai,6172,11419,1311,18902
Amarkantak,1722,10113,3406,15241
Tuting,4969,1555,3639,10163
Pelling,7803,7669,4311,19783
Darjeeling,4907,1917,4456,11280
Nashik,6985,5181,2923,15089
Lakshadweep,1141,3910,1124,6175
Pelling,5633,5296,3528,14457
Kodaikanal,7826,2750,4903,15479
Mumbai,3417,6466,3407,13290
Mussoorie,1099,1518,3520,6137
Kolhapur,4467,4461,4668,13596
Chittorgarh,8787,11893,685,21365
Zemithang,8396,5907,3186,17489
Agra,8290,7264,3657,19211
Goa,8810,10512,4165,23487
Diu,8181,6016,4846,19043
Bangalore,5289,9165,4482,18936
Hyderabad,2289,3584,612,6485
Leh,2730,8270,3813,14813
Pune,9165,8827,1918,19910
Rishikesh,1730,10774,3588,16092
Sanchi,9716,2435,4443,16594
Daman,2243,2656,1592,6491
Aizawl,2234,8476,1910,12620
Udaipur,8719,10572,3236,22527
Jabalpur,8203,7385,4284,19872
Roing,9966,9697,1639,21302
Roing,8648,9710,4665,23023
Ooty,7288,9949,3594,20831
Darjeeling,5159,8675,1560,15394
Kodaikanal,8585,4141,2983,15709
Pondicherry,3701,9791,3649,17141
Sanchi,5044,9378,3720,18142
Khonsa,1722,4828,3696,10246
Pasighat,6353,4684,4732,15769
Along,3161,3592,1721,8474
Ziro,9471,4573,2410,16454
Ranthambore,7072,4522,2093,13687
Khajuraho,8947,11903,1872,22722
Guwahati,7117,8811,3776,19704
Shimla,9480,5383,1105,15968
Solapur,4601,9873,3804,18278
Kolkata,4214,4961,908,10083
Munnar,7662,2929,3779,14370
Jabalpur,9389,9111,4276,22776
Hampi,9514,7943,954,18411
Cherrapunji,3021,5496,2724,11241
Kolhapur,5516,11073,1640,18229
Chittorgarh,8208,1736,4291,14235
Khajuraho,9907,3046,1813,14766
Mawsynram,6541,4259,594,11394
Leh,2706,6666,4097,13469
Rajgir,3621,7240,684,11545
Lakshadweep,2907,3108,2111,8126
Mawsynram,4195,5128,3988,13311
Ziro,3303,1686,1595,6584
Tawang,8217,10273,4161,22651
Ranthambore,1981,7691,4370,14042
Nainital,4767,3139,4475,12381
Rishikesh,5009,9495,3823,18327
Bhubaneswar,7644,1740,3771,13155
Leh,6804,10328,693,17825
Tuting,7020,2479,2814,12313
Delhi,1871,2130,2863,6864
Kodaikanal,2162,4372,4123,10657
Lonavala,4948,6729,3628,15305
Munnar,4943,10684,3233,18860
Bundi,7767,8913,2127,18807
Lonavala,4130,9026,3633,16789
Hyderabad,7540,2144,3099,12783
Kanyakumari,2243,7196,1730,11169
Varanasi,2584,9684,4121,16389
Mahabalipuram,9065,7012,4277,20354
Goa,2809,10616,736,14161
Ratnagiri,8685,2028,649,11362
Ziro,5230,7092,899,13221
Shimla,9940,2541,2818,15299
Siliguri,2206,2000,4721,8927
Andaman,8748,8937,1196,18881
Aurangabad,1164,7294,2010,10468
Jabalpur,4209,10208,4825,19242
Ellora,7491,10963,2296,20750
Indore,9060,3932,586,13578
Along,2486,6601,1331,10418
Delhi,2255,8835,2110,13200
Pasighat,5123,9958,4529,19610
Cherrapunji,7460,5259,3378,16097
Cherrapunji,8130,7193,4563,19886
Bikaner,6706,3547,3645,13898
Pune,1590,9757,2615,13962
Roing,1124,2847,2035,6006
Mussoorie,9004,3274,3989,16267
Gwalior,7580,3421,552,11553
Ziro,6943,6423,1387,14753
Ooty,8340,7200,2327,17867
Aizawl,1552,8837,3281,13670
Ratnagiri,6738,8685,3872,19295
Ellora,7332,7833,1310,16475
Delhi,7095,10942,4670,22707
Bhubaneswar,4363,2836,1007,8206
Hyderabad,7868,10646,2588,21102
Mussoorie,1115,9389,2155,12659
Ooty,2858,10631,2132,15621
Kalimpong,7729,6722,3321,17772
Ellora,4653,8356,1175,14184
Udaipur,6658,7280,2677,16615
Orchha,1848,5749,2953,10550
Lonavala,4599,11452,4050,20101
Udaipur,3286,5947,4781,14014
Itanagar,8069,9783,3246,21098
Delhi,2204,7215,3719,13138
Bhopal,1499,3975,4118,9592
Nashik,3736,2897,2019,8652
Mawsynram,5699,1794,602,8095
Rourkela,7255,8943,3556,19754
Nalanda,9396,7237,1755,18388
Chittorgarh,2800,2770,713,6283
Kalimpong,9330,7301,3337,19968
Andaman,7133,4017,4483,15633
Nashik,3259,6387,2898,12544
Nalanda,5506,11829,1074,18409
Aurangabad,6279,3947,3250,13476
Cherrapunji,3746,2752,4694,11192
Chennai,2915,4694,4897,12506
Varanasi,3990,3966,2021,9977
Majuli,1953,10888,1825,14666
Manali,1082,5680,4630,11392
Mumbai,5432,10163,701,16296
Ellora,6479,3617,3775,13871
Pelling,1620,7586,2538,11744
Ooty,7157,5421,3375,15953
Rajasthan,8691,6646,3759,19096
Bundi,1153,1828,3917,6898
Puri,6837,3064,4449,14350
Mahabalipuram,3034,6507,4186,13727
Nalanda,4441,6098,1576,12115
Manali,3419,9568,4848,17835
Kalimpong,1775,8360,4596,14731
Chennai,3092,8628,4943,16663
Delhi,5862,5022,3883,14767
Shillong,5575,6949,4129,16653
Kaziranga,1500,4491,619,6610
Ooty,2401,5487,908,8796
Mahabalipuram,6204,10136,2616,18956
Konark,7200,10553,894,18647
Bikaner,4394,8170,2727,15291
Imphal,3081,5566,3911,12558
Alibag,7640,9895,1318,18853
Darjeeling,5374,7203,2379,14956
Guwahati,9962,11616,3718,25296
Kovalam,9784,11097,3298,24179
Hyderabad,6593,5689,3829,16111
Aurangabad,3819,6644,2782,13245
Patna,2325,7395,2665,12385
Tezpur,8131,11712,4993,24836
Konark,9205,2217,3147,14569
Munnar,6837,11983,4721,23541
Kodaikanal,5179,7715,4298,17192
Tezpur,7635,1556,2154,11345
Mawsynram,4056,4156,2525,10737
Konark,6424,6272,1578,14274
Varanasi,8447,4415,4648,17510
Patna,2642,3415,3784,9841
Leh,3627,3178,3388,10193
Pelling,2231,3598,3802,9631
Pasighat,4752,3854,2489,11095
Mumbai,1281,7726,710,9717
Mount Abu,5333,6910,1136,13379
Khajuraho,8090,11478,1804,21372
Nainital,1457,10963,1803,14223
Shillong,3757,11857,2562,18176
Mussoorie,7667,1744,595,10006
Varanasi,3314,3072,2369,8755
Alleppey,8220,3105,1410,12735
Nainital,4402,5256,1665,11323
Bhubaneswar,4318,7982,3116,15416
Hampi,6682,11059,3524,21265
Kovalam,5496,6531,4597,16624
Varanasi,6386,1693,4039,12118
Sanchi,3958,2751,2038,8747
Diu,4820,6426,4161,15407
Rourkela,6770,8498,2386,17654
Rajgir,6233,3055,4740,14028
Ellora,7751,7715,3897,19363
Goa,1571,6422,1540,9533
Ranthambore,2514,8842,4293,15649
Tuting,9052,6594,3422,19068
Mawsynram,2546,10887,2838,16271
Imphal,1103,4276,1647,7026
Solapur,9318,2608,3522,15448
Khajuraho,8974,6589,3072,18635
Mechuka,3039,4000,920,7959
Patna,1387,8186,1690,11263
Shillong,1480,8559,4370,14409
Kodaikanal,2901,9528,3818,16247
Gangtok,2995,10965,2709,16669
Alibag,7892,10348,1987,20227
Rishikesh,6697,9341,3347,19385
Kolkata,6148,7264,3451,16863
Shirdi,9202,7362,516,17080
Tawang,9585,11966,750,22301
Chennai,9721,6017,2417,18155
Amritsar,4888,4728,3601,13217
Kalimpong,9547,6494,1564,17605
Kodaikanal,6128,4808,1729,12665
Bodh Gaya,1201,4734,1667,7602
Mahabalipuram,8818,8861,792,18471
Hampi,9102,8316,3955,21373
Manali,5156,2872,2752,10780
Konark,5556,9136,2270,16962
Amarkantak,9842,10897,4137,24876
Kalimpong,2537,6707,722,9966
Majuli,9500,2492,2925,14917
Gangtok,8731,11350,1588,21669
Along,4298,10107,4061,18466
Nagpur,5155,10786,3010,18951
Coorg,9860,4011,1052,14923
Shimla,1827,10705,1791,14323
Bomdila,8190,8036,2721,18947
Rajasthan,9575,1770,806,12151
Agra,9658,11796,3956,25410
Kolkata,1428,7859,4139,13426
Varanasi,2039,10036,2316,14391
Gangtok,1395,4170,3993,9558
Aizawl,5954,9841,947,16742
Chitrakoot,6239,2218,1897,10354
Jaipur,8123,6958,3832,18913
Ellora,1002,11863,2916,15781
Kanyakumari,9443,10130,3125,22698
Pondicherry,4047,7970,4848,16865
Bikaner,3076,5875,1646,10597
Along,4347,11493,866,16706
Pasighat,9895,3757,3364,17016
Khonsa,6495,11040,903,18438
Rajasthan,5816,10384,3349,19549
Ratnagiri,2515,3017,4895,10427
Roing,3954,2391,2392,8737
Bikaner,6318,3413,1831,11562
Darjeeling,2199,9713,3717,15629
Kaziranga,7087,7070,4056,18213
Pondicherry,9461,9490,1661,20612
Kaziranga,4077,11509,2740,18326
Majuli,5196,6342,2559,14097
Mount Abu,8100,3136,3264,14500
Jaipur,1684,2962,3370,8016
Kodaikanal,6225,10522,2777,19524
Sikkim,2308,4935,4958,12201
Ajanta,8067,5011,2255,15333
Mumbai,8187,1974,1241,11402
Dirang,2055,4356,3000,9411
Patna,8917,2778,1562,13257
Itanagar,3750,3476,3267,10493
Jaipur,9316,11145,4273,24734
Hampi,7422,11834,2929,22185
Rajasthan,8573,9087,4851,22511
Mussoorie,1605,8646,505,10756
Bikaner,7712,7169,2334,17215
Mount Abu,2099,2345,3164,7608
Khajuraho,4778,1842,2270,8890
Shimla,6761,1729,2125,10615
Ellora,4585,4912,2728,12225
Along,4937,9314,2749,17000
Aurangabad,4596,9776,4393,18765
Guwahati,3462,4254,650,8366
Solapur,9273,1510,3515,14298
Mawsynram,3181,3753,3297,10231
Jabalpur,7177,2984,3544,13705
Khajuraho,8988,6632,2446,18066
Ranthambore,3744,3909,1587,9240
Darjeeling,5938,7227,528,13693
Daman,5151,10818,2027,17996
Ellora,6111,3259,3222,12592
Nagpur,3622,11754,1464,16840
Satara,3118,6879,4461,14458
Bikaner,5693,7710,2454,15857
Alibag,3355,8125,3870,15350
Leh,2518,11277,1915,15710
Siliguri,7589,7965,2171,17725
Kolhapur,3570,11291,2461,17322
Bundi,8989,8867,4524,22380
Jabalpur,1726,7507,1025,10258
Pasighat,8210,5334,2860,16404
Goa,3393,11701,1134,16228
Bhopal,6723,4693,4974,16390
Goa,4708,3750,3612,12070
Tawang,3051,1804,3937,8792
Ratnagiri,5236,7766,2583,15585
Alleppey,1416,5475,3680,10571
Bikaner,3699,5513,907,10119
Mawsynram,8266,11409,2807,22482
Bodh Gaya,5289,4884,4358,14531
Mahabalipuram,7677,10077,4778,22532
Nashik,5961,9180,3390,18531
Aurangabad,4491,5378,2986,12855
Solapur,4111,7522,882,12515
Lonavala,6470,3786,3528,13784
Indore,3802,1744,2190,7736
Kaziranga,7300,8682,3211,19193
Indore,7528,9737,2766,20031
Imphal,5233,3931,4460,13624
Orchha,2938,6512,2667,12117
Bodh Gaya,4066,8103,3405,15574
Satara,4351,6770,2680,13801
Dirang,8441,4176,2668,15285
Pune,3363,6953,4765,15081
Cherrapunji,1510,4242,4051,9803
Khandala,4757,7040,2002,13799
Pune,3353,6647,4120,14120
Lakshadweep,9064,10797,3115,22976
Amarkantak,7680,5306,2616,15602
Haridwar,6095,8466,886,15447
Leh,4436,11450,4181,20067
Jaipur,7343,8672,533,16548
Shillong,4264,2769,4130,11163
Daman,5897,9067,4949,19913
Udaipur,4614,9981,1765,16360
Leh,8752,3570,2244,14566
Satara,3956,2900,1942,8798
Shimla,2307,6054,872,9233
Kaziranga,7379,9893,857,18129
Jaisalmer,5280,8801,1575,15656
Bundi,8791,3022,3657,15470
Andaman,5056,5611,3740,14407
Tawang,8999,5876,2672,17547
Siliguri,4763,1971,1602,8336
Solapur,5736,1700,3793,11229
Alleppey,3362,8431,3231,15024
Solapur,4948,6368,2603,13919
Manali,5139,2545,2432,10116
Chennai,2166,2343,663,5172
Bundi,8616,7551,2630,18797
Cuttack,3527,5038,4252,12817
Nagpur,3135,4758,3121,11014
Bikaner,6986,1896,922,9804
Bangalore,4607,3096,595,8298
Coorg,8440,4980,3817,17237
Alibag,9528,11108,3380,24016
Ranthambore,5765,1863,2465,10093
Bomdila,9117,4830,2071,16018
Sikkim,9917,6770,3961,20648
Gwalior,2348,8872,3644,14864
Darjeeling,6350,7745,2840,16935
Nainital,3183,4557,2964,10704
Konark,3324,10724,3825,17873
Roing,5725,8669,3526,17920
Bundi,2796,11063,1343,15202
Shillong,6639,2074,901,9614
Sikkim,9834,7110,4365,21309
Chennai,7926,8274,3275,19475
Mawsynram,8056,1693,1812,11561
Shimla,6300,7472,4780,18552
Mumbai,5065,8989,4135,18189
Jaipur,9638,11036,2102,22776
Tezpur,9590,9771,4390,23751
Nagpur,9301,3078,4279,16658
Chittorgarh,7227,11615,3824,22666
Roing,8012,10714,3423,22149
Varanasi,6414,4652,3521,14587
Sikkim,8622,10566,3237,22425
Mahabalipuram,4753,11899,2884,19536
Aurangabad,7479,10473,3122,21074
Pelling,7525,2223,4612,14360
Mawsynram,2418,9013,2866,14297
Siliguri,4350,1532,1028,6910
Bhubaneswar,1453,5402,4055,10910
Pasighat,7131,2927,1633,11691
Kovalam,7149,4460,4768,16377
Kalimpong,8055,10127,2899,21081
Tezpur,2603,3463,2023,8089
Chittorgarh,3986,4412,1577,9975
Gangtok,9481,3269,3950,16700
Delhi,6654,4441,4925,16020
Varanasi,3425,9211,2115,14751
Dirang,3136,10430,3022,16588
Alibag,5139,2035,1797,8971
Guwahati,4560,2099,3272,9931
Patna,6975,9381,3453,19809
Coorg,6376,8874,774,16024
Mount Abu,3759,10251,4356,18366
Pelling,9730,5746,4370,19846
Khandala,6842,8003,978,15823
Khajuraho,3290,3619,2932,9841
Shillong,1091,1514,2425,5030
Nainital,5986,3626,4236,13848
Diu,4536,2085,1323,7944
Mechuka,5741,7423,1105,14269
Pasighat,2185,10581,1093,13859
Bhubaneswar,8400,9662,2124,20186
Chittorgarh,5747,1959,4694,12400
Tawang,3192,7060,4555,14807
Kaziranga,3128,9256,1544,13928
Pondicherry,8167,2775,888,11830
Hyderabad,4504,7919,4710,17133
Amarkantak,2610,1729,1827,6166
Bundi,9701,10872,3891,24464
Orchha,5323,7275,3274,15872
Mount Abu,4550,9930,4522,19002
Nalanda,4392,10777,1933,17102
Chittorgarh,5458,7211,3326,15995
Jabalpur,1903,11959,4636,18498
Mahabalipuram,3158,6017,1818,10993
Mount Abu,6544,5865,1319,13728
Diu,9975,10228,1115,21318
Kanyakumari,2944,8045,724,11713
Imphal,3672,5257,1530,10459
Kanyakumari,2374,11417,4215,18006
Pasighat,4762,7829,4450,17041
Chennai,2360,11226,3474,17060
Bodh Gaya,3816,10392,3447,17655
Itanagar,3168,3967,3064,10199
Kanyakumari,3080,4365,1047,8492
Ajanta,2146,4282,3182,9610
Orchha,5028,2677,4039,11744
Kodaikanal,5932,10016,1145,17093
Zemithang,9309,9392,2081,20782
Orchha,7064,3855,718,11637
Kovalam,1274,8352,3422,13048
Lakshadweep,5085,9542,1923,16550
Kolkata,7523,11184,2235,20942
Leh,9003,5190,1405,15598
Along,8354,7737,2467,18558
Itanagar,6473,10633,3606,20712
Aizawl,8007,8997,4163,21167
Mussoorie,6999,10036,2905,19940
Rishikesh,6090,3299,1836,11225
Manali,6509,6894,4043,17446
Gangtok,5900,2830,3001,11731
Mawsynram,4972,7651,3447,16070
Khandala,9292,9228,2354,20874
Majuli,5674,4797,3864,14335
Jaipur,9991,2148,1322,13461
Jaisalmer,5348,5249,1849,12446
Bhubaneswar,6199,2548,2358,11105
Rishikesh,4291,6722,3352,14365
Diu,3169,6747,1090,11006
Zemithang,3616,10304,2266,16186
Aizawl,7199,3622,3611,14432
Shimla,1649,4321,1370,7340
Khajuraho,7037,2765,852,10654
Kolhapur,3463,9916,2590,15969
Nainital,4664,7452,1505,13621
Shimla,1678,3721,2084,7483
Siliguri,3022,6237,3203,12462
Zemithang,9774,8903,4443,23120
Amarkantak,4592,8482,2169,15243
Itanagar,4621,8693,689,14003
Bodh Gaya,8667,1644,2403,12714
Mumbai,1039,6782,1029,8850
Ranthambore,1045,10213,1706,12964
Nainital,4245,11772,4948,20965
Varanasi,9408,11125,839,21372
Shimla,6220,3207,1248,10675
Rajgir,5190,4494,1295,10979
Mahabalipuram,4922,3496,3116,11534
Jabalpur,6156,8617,4475,19248
Khajuraho,5478,10085,1998,17561
Rourkela,3643,2001,2524,8168
Pasighat,3849,3409,538,7796
Mount Abu,7692,8767,1700,18159
Jabalpur,1768,2353,3410,7531
Along,7492,2173,3235,12900
Leh,9253,2367,3847,15467
Udaipur,6120,11402,4853,22375
Zemithang,9743,4152,3212,17107
Puri,2888,9782,588,13258
Varanasi,8277,2593,4208,15078
Goa,2980,4632,2504,10116
Itanagar,8851,4028,753,13632
Rajgir,5252,10946,3259,19457
Imphal,1763,2865,2415,7043
Cuttack,7041,7128,2346,16515
Cuttack,1679,3648,2927,8254
Andaman,1186,8463,1721,11370
Bangalore,8482,1564,4556,14602
Kanyakumari,9788,4774,1370,15932
Nashik,2894,3066,856,6816
Munnar,1418,8861,3822,14101
Chittorgarh,2114,6924,2864,11902
Lakshadweep,2898,8857,2656,14411
Jorhat,3878,7926,2339,14143
Amritsar,1981,3941,935,6857
Kodaikanal,3371,6841,2662,12874
Khajuraho,3094,6288,3430,12812
Ooty,5363,4720,4009,14092
Mawsynram,4831,8482,3489,16802
Bangalore,3574,6702,1148,11424
Tezpur,4889,8725,4745,18359
Satara,8504,6769,2254,17527
Solapur,5391,2494,2785,10670
Khandala,9471,10045,1694,21210
Pune,2824,7390,640,10854
Roing,2737,5241,4584,12562
